carBrand,carModel,carType,problemCode,problemCodeproblemCode,problemDatetime,problemDescription,problemId,problemStatus
奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领臻版,"H103,",,2021-02-05,奇瑞艾瑞泽5安全气囊故障灯常亮,570638,信息审核
广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,"H169,",,2021-02-05,广汽丰田凯美瑞主驾驶座椅靠背调节异响,570626,信息审核
上汽大众,Polo,2014款 1.4L 手动 风尚版,"I293,K307,",,2021-02-05,上汽大众Polo 4S店虚报维修价格 服务态度差,570624,信息审核
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,"H110,",,2021-02-05,奇瑞瑞虎8无法启动需要换电器盒总成,570621,信息审核
上汽通用五菱,宝骏360,2021款 1.5L 手动 精英型,"H109,H30,",,2021-02-05,上汽通用五菱宝骏360排气管漏水生锈,570618,信息审核
东风日产,劲客,2017款 1.5L CVT 酷享版,"D59,",,2021-02-05,东风日产劲客方向盘转向出现异响,570617,信息审核
广汽本田,雅阁,2021款 260TURBO 豪华·星空限量版,"M279,",,2021-02-05,广汽本田雅阁限量版车标颜色宣传不符,570615,信息审核
奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪耀版,"A34,",,2021-02-05,奇瑞瑞虎8 PLUS更换凸轮轴电磁阀无法解决,570614,信息审核
广汽丰田,YARiS L 致享,2019款 1.5E CVT魅动版 国VI,"D154,",,2021-02-05,广汽丰田致享方向盘不回正希望处理,570612,信息审核
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,"H134,",,2021-02-05,一汽大众奥迪A4L中控显示屏死机黑屏,570611,信息审核
广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 豪华版,"A339,A13,H134,H89,I294,",,2021-02-05,广汽丰田雷凌机油增多乳化天窗中控屏异响,570610,信息审核
比亚迪,比亚迪G5,2014款 1.5TID 自动 旗舰型,"A44,E29,H170,",,2021-02-05,比亚迪G5发动机无法启动 刹车失灵,570603,用户评分
广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 豪华版,"H89,",,2021-02-05,广汽丰田雷凌不平路面行驶时天窗异响,570602,信息审核
东风日产,轩逸,2020款 1.6L XL CVT 悦享版,"D59,G52,H134,H72,H93,",,2021-02-05,东风日产轩逸方向盘异响 中控黑屏 影像蓝屏,570601,信息审核
江淮汽车,嘉悦A5,2020款 1.5T CVT 超越型,"A38,B19,H168,H50,",,2021-02-05,江淮嘉悦A5发动机异响 变速箱顿挫 部件开裂,570599,处理反馈
东风日产,逍客,2017款 2.0L CVT 智享版 国VI,"A34,B334,",,2021-02-05,东风日产逍客发动机故障灯亮 无法加速,570598,信息审核
奇瑞汽车,瑞虎8,2020款 1.5TCI 自动 特供版 5座,"D80,D156,H93,",,2021-02-05,奇瑞瑞虎8中控异响 方向盘共振左轻右重,570597,信息审核
上汽大众,辉昂,2019款 380TSI 两驱 商务版 国V,"A24,B33,B19,",,2021-02-05,大众辉昂行驶时变速箱顿挫异响 发动机抖动,570595,处理反馈
广汽本田,飞度,2014款 1.5L CVT LX舒适型,"A44,",,2021-02-05,广汽本田飞度启动机故障导致启动困难,570593,信息审核
奇瑞汽车,奇瑞E5,2011款 1.5 手动 优悦型 E5,"A255,H81,H78,",,2021-02-05,奇瑞E5漆面掉漆供油不足导致无法加速,570590,厂家受理
一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,"H82,",,2021-02-05,一汽大众探岳大灯水雾影响行车安全,570586,信息审核
一汽-大众,迈腾,2018款 330TSI DSG 豪华型,"B20,B96,",,2021-02-05,一汽大众迈腾变速箱无奇数挡仪表盘故障报警,570584,信息审核
东风日产,天籁,2021款 2.0L XL 舒适版,"H72,",,2021-02-05,东风日产天籁行驶过程中车门有异响,570582,信息审核
一汽-大众,高尔夫,2021款 280TSI DSG R-Line,"N317,",,2021-02-05,一汽大众高尔夫螺丝孔有瑕疵无法安装车牌,570580,信息审核
一汽丰田,锐志,2007款 2.5V 导航版 新锐志REIZ,"H176,",,2021-02-05,一汽丰田锐志中控仪表台开裂老化,570578,信息审核
一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,"H147,",,2021-02-05,一汽大众高尔夫加满油低速踩刹车油箱异响,570576,信息审核
长安福特,锐际,2020款 EcoBoost 245 四驱 纵享款 ST-LINE,"J300,",,2021-02-05,长安福特锐际经销商喷漆色差明显,570575,厂家受理
江铃汽车,驭胜S350,2016款 2.4T 自动 两驱 柴油 豪华版 5座,"B33,",,2021-02-05,江铃驭胜S350变速箱换挡时有异响,570571,信息审核
一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,"H146,",,2021-02-05,一汽奔腾T77电瓶亏电导致无法启动,570569,厂家受理
东风雪铁龙,雪铁龙C3-XR,2015款 1.6THP 自动 先锋型 5座,"A63,",,2021-02-05,东风雪铁龙C3-XR发动机严重烧机油,570568,信息审核
长安福特,翼虎,2018款 EcoBoost 180 两驱 豪翼型,"A191,",,2021-02-05,长安福特翼虎防冻液异常消耗希望处理,570563,厂家受理
江淮汽车,嘉悦A5,2020款 1.5T CVT 梦想型,"A9,A38,",,2021-02-05,江淮嘉悦A5低速行驶时发动机噪音过大,570562,处理反馈
上汽大众,桑塔纳,2021款 1.5L 手动 风尚版,"O353,",,2021-02-05,上汽大众桑塔纳购车后不给保养手册,570560,处理反馈
一汽-大众,宝来,2019款 改款 1.5L 自动 舒适型 国VI,"E43,",,2021-02-05,一汽大众宝来倒车时踩刹车严重异响,570558,处理反馈
东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,"A14,B334,D156,",,2021-02-05,东风日产轩逸变速箱失速 方向盘故障灯亮,570557,信息审核
江汽集团,思皓X8,2021款 300T DCT 全景豪华版 6座,"L313,",,2021-02-05,江淮思皓X8购车时置换补贴未兑现,570556,信息审核
上汽通用五菱,宝骏310W,2017款 1.5L 手动 时尚型 国VI,"H55,",,2021-02-05,宝骏310W行驶时出现交通事故气囊未弹开,570555,信息审核
广汽乘用车,传祺GS3,2017款 150N 自动 精英版,"A34,H234,",,2021-02-05,广汽传祺GS3爆震传感器故障发动机故障灯亮,570554,信息审核
广汽三菱,欧蓝德,2020款 2.0L 两驱 畅享版 5座,"M284,",,2021-02-05,广汽三菱欧蓝德4S店销售维修过的问题车,570553,厂家受理
吉利汽车,吉利ICON,2020款 1.5TD i9,"K307,N317,",,2021-02-05,吉利ICON销售人员赠送车膜质量太差,570546,信息审核
BEIJING汽车,绅宝X35,2016款 1.5L 自动 精英版,"O353,",,2021-02-05,北汽绅宝X35车辆登记证书缺失无法解压,570545,信息审核
上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 豪华优享版 7座 改款,"E43,",,2021-02-05,斯柯达柯迪亚克刹车系统存在异响现象,570544,处理反馈
东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,"F186,I295,",,2021-02-05,东风悦达起亚智跑锦湖轮胎脱皮4S店不予处理,570543,信息审核
华晨宝马,宝马1系,2021款 125i M运动曜夜版,"H155,I293,",,2021-02-05,华晨宝马1系车联网APP数据无法更新,570541,信息审核
长安福特,锐际,2020款 EcoBoost 245 四驱 嘉享款,"A9,",,2021-02-05,长安福特锐际发动机舱内有异响要求处理,570534,处理反馈
广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,"Q322,",,2021-02-05,广汽本田皓影油管损坏需要更换油箱,570529,处理反馈
北京现代,领动,2016款 1.6L 自动 智炫·精英型,"D123,",,2021-02-05,北京现代领动跑高低速时岀现方向卡滞,570525,信息审核
东风日产,劲客,2021款 1.5L XE 手动 酷动版,"A9,",,2021-02-05,东风日产劲客加速时发动机舱异响,570523,信息审核
东风标致,标致408,2015款 1.2T 自动 豪华版,"A63,",,2021-02-05,东风标致408召回更换正时皮带后烧机油,570522,用户评分
东风本田,本田CR-V,2021款 240TURBO CVT 四驱 豪华版,"L313,",,2021-02-05,东风本田CR-V按装行车记录仪与承诺不符,570521,信息审核
奔驰（进口）,奔驰E级（进口）,2018款 E 200 敞篷轿跑车,"B27,H134,H170,H220,",,2021-02-05,进口奔驰E级尾灯开裂 变速箱跳挡,570517,厂家受理
上汽通用五菱,五菱宏光,2019款 1.5L S 基本型 L2B,"N319,",,2021-02-05,上汽通用五菱宏光中控系统是非原厂配件,570514,信息审核
广汽乘用车,传祺GA6,2016款 235T DCT 豪华版,"B33,B19,B334,",,2021-02-05,广汽传祺GA6低速行驶变速箱换挡顿挫,570512,处理反馈
东风雪铁龙,雪铁龙C6,2017款 380THP 尊贵型,"K307,",,2021-02-05,东风雪铁龙C6测距雷达故障 店方要收费调试,570511,处理反馈
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,"A191,",,2021-02-05,一汽大众探岳出现防冻液消耗过快,570510,信息审核
众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,"N318,",,2021-02-05,众泰Z500质保期内厂家无配件索赔,570507,信息审核
上汽大众,朗行,2013款 1.4TSI 自动 豪华型,"H185,",,2021-02-05,上汽大众朗行车内异味严重影响身体健康,570505,处理反馈
吉利汽车,缤越,2020款 PRO 260T DCT 骑士,"D80,",,2021-02-05,吉利缤越转速1300-1800转区间方向盘振动,570503,处理反馈
一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,"B69,",,2021-02-05,一汽大众探岳变速箱拖挡导致车身抖动,570502,信息审核
一汽-大众,C-TREK蔚领,2017款 1.6L 自动 舒适型,"H90,",,2021-02-05,一汽大众蔚领天窗严重漏水造成内饰有水渍,570500,处理反馈
东风标致,标致308,2014款 乐享版 经典 1.6L 手动 优尚型,"H78,H271,",,2021-02-05,东风标致308油泵变形导致油表显示不准确,570499,处理反馈
一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,"H101,",,2021-02-05,一汽丰田RAV4荣放空调出风口经常异响,570496,信息审核
东风风行,景逸X5,2017款 1.5T CVT 智联型 劲享系列,"A12,B33,H21,",,2021-02-05,东风风行景逸X5发动机漏油 变速箱异响,570494,信息审核
一汽-大众,迈腾,2019款 330TSI DSG 领先型 国VI,"A9,B33,B19,",,2021-02-05,一汽大众迈腾变速箱异响顿挫存在质量问题,570489,处理反馈
上汽大众,凌渡,2021款 280TSI DSG 舒适版,"L313,",,2021-02-05,上汽大众凌渡厂家置换补贴承诺4S店不兑现,570483,处理反馈
领克,领克05,2020款 2.0TD 四驱 劲Halo,"H268,H164,",,2021-02-05,领克05内饰异响 方向盘与踏板共振,570482,用户评分
奇瑞汽车,艾瑞泽5,2020款 1.5L CVT 运动版,"H49,",,2021-02-05,奇瑞艾瑞泽5无操作情况下发动机自行启动,570481,处理反馈
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,"H82,",,2021-02-05,一汽大众探岳右大灯透镜发白越来越严重,570479,处理反馈
观致汽车,观致7,2020款 1.8T 巡航豪华型,"B96,E43,O326,",,2021-02-05,观致7变速箱故障 自动驻车故障  刹车异响,570478,信息审核
一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,"H72,H268,H93,",,2021-02-05,一汽丰田RAV4荣放车窗玻璃共振 中控异响,570476,信息审核
长安福特,锐界,2020款 EcoBoost 245 两驱 豪锐型 7座,"B33,H147,",,2021-02-05,福特锐界行驶时加速油门异响 汽油箱异响,570474,厂家受理
长安福特,翼搏,2013款 1.5 自动 尊贵型,"B77,Q322,",,2021-02-05,长安福特翼搏变速箱拨叉存在设计缺陷,570473,用户评分
东风本田,本田CR-V,2021款 锐·混动 2.0L 两驱 净行版,"H68,H147,",,2021-02-05,东风本田CR-V颠簸路行驶汽油箱和后备箱异响,570468,信息审核
东风标致,标致408,2016款 1.6T 自动 豪华版,"A9,",,2021-02-05,东风标致408冷车启动时发动机异响,570466,信息审核
特斯拉中国,Model Y,2021款 长续航 全轮驱动版,"H101,H340,",,2021-02-05,特斯拉Model Y空调不制热 充电时自动断电,570464,信息审核
上汽大众斯柯达,柯迪亚克,2020款 TSI330 两驱 豪华优享版 5座,"A35,",,2021-02-05,斯柯达柯迪亚克发动机怠速运转时不稳,570463,信息审核
上汽大众,凌渡,2019款 280TSI DSG 舒适版 国V,"E43,",,2021-02-05,上汽大众凌渡刹车时有异响4S店否认质量问题,570462,处理反馈
东风标致,标致408,2014款 1.8L 自动 豪华版,"H271,",,2021-02-05,标致408油箱阀密封不严导致汽油回流,570461,信息审核
北京汽车,威旺S50,2016款 1.5T 手动 乐动豪华型,"H40,",,2021-02-05,北汽威旺S50车辆停放时发生自燃厂家不处理,570459,处理反馈
一汽-大众,迈腾,2020款 330TSI DSG 领先型,"B33,",,2021-02-05,一汽大众迈腾飞轮故障导致变速箱异响,570458,信息审核
BEIJING汽车,BEIJING-X7,2020款 1.5TD DCT 致领版,"A12,",,2021-02-05,BEIJING-X7发动机曲轴前油封处有漏油的现象,570455,信息审核
东风本田,本田CR-V,2017款 240TURBO 自动 四驱 尊耀版,"H134,",,2021-02-05,东风本田CR-V抬头显示盖板不回位厂家不保修	,570453,信息审核
吉利汽车,帝豪GL,2018款 1.4T 自动 尊贵智联型,"A9,B33,B95,H15,",,2021-02-05,吉利帝豪GL变速箱异响抖动车身异响,570452,处理反馈
吉利新能源,星越新能源,2019款 400T 驭星者 纯电动续航80KM,"A24,H185,H101,H170,",,2021-02-05,吉利星越新能源辅助驾驶故障 发动机抖动 ,570446,信息审核
奇瑞新能源,瑞虎3xe,2018款 480 畅优版,"H101,H146,I297,",,2021-02-05,奇瑞瑞虎3xe电瓶进水 空调漏水 厂家不保修,570445,厂家受理
一汽-大众奥迪,奥迪A6L,2016款 TFSI 双离合 技术型,"A37,H234,",,2021-02-05,奥迪A6L节温器故障导致漏防冻液,570441,信息审核
奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 地 5座,"H82,",,2021-02-04,捷途X70 PLUS车门警示灯不亮 前大灯不亮,570439,信息审核
奇瑞新能源,瑞虎e,2021款 虎啸版,"H343,",,2021-02-04,奇瑞瑞虎e行驶时经常出现动力切断故障,570438,信息审核
广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,"A9,",,2021-02-04,广汽本田缤智冷启动发动机VTC作用器异响,570436,处理反馈
东风日产,骐达TIIDA,2011款 1.6 CVT 智能版 新骐达,"B19,",,2021-02-04,东风日产骐达TIIDA变速箱换挡顿挫,570435,信息审核
广汽丰田,凯美瑞,2007款 240G 豪华版,"H176,H164,",,2021-02-04,广汽丰田凯美瑞仪表台老化粘手异味严重,570434,信息审核
上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,"A85,H263,",,2021-02-04,上汽大众途观L发动机起停失灵 油耗增加,570432,处理反馈
东风日产,阳光,2016款 1.5XE 手动 领先版,"B33,H202,",,2021-02-04,东风日产阳光变速器异响 油表显示不准确,570430,信息审核
东风雪铁龙,雪铁龙C4L,2013款 1.8L 自动 劲智版,"D59,D265,",,2021-02-04,东风雪铁龙C4L方向机转向异响要求解决,570428,处理反馈
雷克萨斯,雷克萨斯LS,2006款 460L  自动  尊贵版,"H176,",,2021-02-04,雷克萨斯LS中控仪表台开裂发粘有异味	,570426,厂家受理
东风日产,天籁,2020款 2.0L XL 舒适版,"H147,",,2021-02-04,东风日产天籁加满油后刹车时汽油箱异响,570425,信息审核
吉利汽车,缤越,2020款 PRO 240T DCT 猎手,"E43,",,2021-02-04,吉利缤越刹车时有异响4S店不予解决,570424,处理反馈
吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,"L313,",,2021-02-04,吉利嘉际购车旅游基金承诺一直没有兑现,570423,信息审核
奔驰（进口）,奔驰GLE,2018款 GLE 320 4MATIC 动感型 臻藏版,"A14,A44,D291,H134,H211,",,2021-02-04,进口奔驰GLE转向系统故障 中控屏黑屏,570422,信息审核
BEIJING汽车,绅宝D50,2018款 1.5L CVT 尊享智联版,"E62,E159,I297,",,2021-02-04,绅宝D50电子驻车系统故障报警4S店不予保修,570419,处理反馈
一汽-大众奥迪,奥迪Q5,2015款 40 TFSI 舒适型 5座,"A12,A63,A37,",,2021-02-04,一汽大众奥迪Q5发动机漏油烧机油 漏冷却液,570417,信息审核
奇瑞汽车,捷途X70S,2019款 1.5T DCT 坦途版 5座,"A24,A163,",,2021-02-04,捷途X70S发动机故障 功率不足 剧烈抖动,570415,处理反馈
江铃福特,领界,2019款 EcoBoost 145 CVT 精领型 国VI,"B22,J298,",,2021-02-04,江铃福特领界变速箱漏油维修多次无法解决,570414,用户评分
上汽大众,凌渡,2018款 230TSI 手动 风尚版,"C65,G52,",,2021-02-04,上汽大众凌渡离合器异响 减震器异响,570413,用户评分
长安马自达,马自达3 昂克赛拉,2016款 1.5L 手动 豪华型 三厢,"E43,G52,",,2021-02-04,长安马自达昂克赛拉刹车异响 减震器异响,570412,处理反馈
东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,"L314,",,2021-02-04,东风本田CR-V事故维修垫付款售后未退还,570411,信息审核
广汽丰田,雷凌,2021款 185T CVT 豪华版,"B19,",,2021-02-04,广汽丰田雷凌低速行驶时变速箱顿挫,570410,信息审核
华晨宝马,宝马1系,2020款 120i M运动套装,"E29,",,2021-02-04,华晨宝马1系刹车抱死希望厂家质保,570406,信息审核
比亚迪,比亚迪F0,2010款 尚酷爱国版 1.0 手动 悦酷型,"H79,",,2021-02-04,比亚迪F0车身侧裙和底盘出现生锈现象,570405,用户评分
上汽大众,桑塔纳,2016款 1.6L 手动 风尚版 三厢,"A34,A44,",,2021-02-04,上汽大众桑塔纳发动机启动困难故障灯亮,570401,处理反馈
一汽-大众,宝来,2019款 宝来·传奇 1.5L 手动 时尚型 国VI,"H203,",,2021-02-04,一汽大众宝来胎压监测报警维修多次未解决,570400,处理反馈
东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲驰版,"D80,D265,",,2021-02-04,东风雪铁龙C4L方向盘管柱有松动现象,570394,处理反馈
东风标致,标致408,2014款 1.8L 自动 豪华版,"A63,G158,",,2021-02-04,标致408发动机严重烧机油 后桥异响,570393,处理反馈
奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,"E43,H68,",,2021-02-04,奇瑞瑞虎8 PLUS刹车异响后备箱无故弹起,570392,处理反馈
东风标致,标致408,2014款 1.8L 自动 豪华版,"A34,A63,",,2021-02-04,东风标致408发动机烧机油故障灯亮,570391,用户评分
上汽大众,凌渡,2019款 280TSI DSG 舒适版 国VI,"H89,",,2021-02-04,上汽大众凌渡天窗异响售后没有解决问题,570387,处理反馈
东风英菲尼迪,英菲尼迪Q50L,2015款 2.0T 自动 悦享版,"H185,H90,",,2021-02-04,英菲尼迪Q50L车内异味希望厂家处理,570386,信息审核
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,"B246,B208,H211,",,2021-02-04,大众探岳变速箱脱挡共振 反光镜异响,570378,处理反馈
长城汽车,哈弗大狗,2021款 1.5T DCT 拉布拉多版,"H146,",,2021-02-04,哈弗大狗电瓶亏电导致发动机无法启动,570377,用户评分
一汽-大众,高尔夫,2017款 230TSI 自动 舒适百万辆纪念版,"B96,B77,B184,",,2021-02-04,一汽大众高尔夫变速箱换挡机构故障,570374,处理反馈
一汽-大众,速腾,2019款 280TSI DSG 豪华型 国V,"A9,H78,",,2021-02-04,一汽大众速腾高压油泵异响更换配件未解决,570373,处理反馈
东风标致,标致508,2021款 508L 400THP PureTech 驾控版,"A9,A34,A44,",,2021-02-04,东风标致508发动机无法启动而且故障灯亮,570369,用户评分
吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,"B33,B96,B246,",,2021-02-04,吉利帝豪GL变速箱过热失速而且有异响,570366,处理反馈
北京现代,胜达,2013款 2.4L 自动 两驱 智能型 GLS,"H209,J303,",,2021-02-04,北京现代胜达4S店喷漆有划痕保险杠缝隙大,570365,信息审核
一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,"H110,",,2021-02-04,一汽大众奥迪Q5L多个故障灯同时报警希望处理,570363,信息审核
领克,领克03,2020款 2.0TD 自动 劲Pro版,"H169,I293,J299,",,2021-02-04,领克03事故维修后座椅挤压起皱服务差,570362,处理反馈
云度新能源,云度π1,2020款 Pro 远行版 乐派型,"D59,H185,H93,H343,",,2021-02-04,云度π1仪表台异响方向盘异响电池充电缓慢,570360,信息审核
BEIJING汽车,智行,2018款 1.5T CVT 新智版 国V,"H67,N318,",,2021-02-04,BEIJING汽车智行玻璃升降器有故障,570359,处理反馈
上汽大众,凌渡,2015款 280TSI 手动 舒适版,"H185,",,2021-02-04,上汽大众凌渡车内异味要求给予解决,570358,处理反馈
奇瑞捷豹路虎,捷豹XEL,2019款 2.0T 200PS 尊享版,"A12,A14,",,2021-02-04,奇瑞捷豹路虎XEL发动机熄火 发动机漏油,570356,处理反馈
长安福特,锐界,2020款 EcoBoost 245 两驱 豪锐型 7座,"H146,",,2021-02-04,长安福特锐界电瓶亏电导致无法启动,570355,处理反馈
华晨中华,中华V7,2019款 运动款 280T 自动 豪华型,"A24,A34,I297,",,2021-02-04,华晨中华V7发动机故障灯亮 4S店不予索赔,570352,信息审核
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,"H119,",,2021-02-04,一汽大众迈腾遥控钥匙漏电希望解决,570351,处理反馈
上汽通用五菱,五菱宏光,2016款 1.5L 尊享型 S1 国V,"G245,",,2021-02-04,上汽通用五菱宏光前轮吃胎偏磨严重,570350,信息审核
北汽新能源,北汽新能源EC5,2019款 新风版,"H344,M283,",,2021-02-04,北汽新能源EC5续航里程不足希望处理,570347,处理反馈
BEIJING汽车,BEIJING-EU5,2018款 R550 智领版,"M284,",,2021-02-04,BEIJING-EU5新车车身顶部A柱大面积喷漆,570346,处理反馈
北京奔驰,奔驰E级,2019款 E 300L 运动豪华型,"D59,D265,",,2021-02-04,北京奔驰E级方向机异响厂家拒绝更换,570345,信息审核
广汽本田,广汽本田VE-1,2020款 舒适版,"H344,",,2021-02-04,广汽本田VE-1续航里程不足要求尽快处理,570344,厂家受理
斯巴鲁,森林人,2016款 2.0i 时尚导航版,"D59,G210,",,2021-02-04,斯巴鲁森林人方向机异响 三角臂故障,570343,信息审核
长安福特,锐界,2015款 2.7T GTDi 四驱 运动型,"A12,",,2021-02-04,长安福特锐界塑料油底壳出现漏油,570342,处理反馈
东风本田,哥瑞,2016款 1.5L CVT 舒适版,"A9,",,2021-02-04,东风本田哥瑞冷车启动异响存在质量问题,570341,处理反馈
一汽-大众,速腾,2018款 280TSI DSG熠动版,"A9,I295,",,2021-02-04,一汽大众速腾高压泵异响厂家不予解决,570339,处理反馈
一汽-大众,速腾,2018款 280TSI DSG熠动版,"G56,",,2021-02-04,一汽大众速腾颠簸路面行驶时底盘异响,570338,处理反馈
一汽奔腾,奔腾B30,2017款 1.6L 手动 舒适型,"H243,",,2021-02-04,一汽奔腾B30轮毂掉漆厂家未索赔,570337,厂家受理
上汽通用五菱,五菱宏光,2016款 1.5L 尊享型 S1 国V,"B33,B20,",,2021-02-04,上汽通用五菱宏光挂三挡打齿驻车时无法挂入,570336,信息审核
一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国VI,"B69,",,2021-02-04,一汽大众探岳变速箱拖挡导致车身共振抖动,570335,处理反馈
一汽丰田,锐志,2007款 2.5S 天窗版 锐志 REIZ,"H176,",,2021-02-04,一汽丰田锐志仪表台开裂 影响气囊弹出,570332,信息审核
上汽大众,途昂X,2020款 380TSI 四驱 豪华版,"G204,N318,",,2021-02-04,上汽大众途昂X前悬挂异响经销商无配件,570331,处理反馈
