carBrand,carModel,carType,problemCode,problemCodeproblemCode,problemDatetime,problemDescription,problemId,problemStatus
海马汽车,海马M3,2013款 1.5L 手动 精英型,"H103,",,2021-02-04,海马M3安全气囊故障灯亮一直未解决,570327,厂家受理
奇瑞汽车,瑞虎5x,2017款 1.5T 自动 精英型,"A85,",,2021-02-04,奇瑞瑞虎5x发动机实际油耗高希望解决,570325,处理反馈
上汽大众,途观L,2020款 330TSI 自动 两驱 智动豪华版 国VI,"A85,H263,J300,",,2021-02-04,上汽大众途观L事故维修后启停失灵油耗高,570324,处理反馈
长安马自达,马自达CX-5,2015款 2.5L 自动 四驱 尊贵型,"A12,",,2021-02-04,长安马自达CX-5发动机变速箱连接处漏机油,570323,处理反馈
东风悦达起亚,赛拉图,2012款 1.6L 手动 GL,"B33,",,2021-02-04,东风悦达起亚赛拉图变速箱异响严重,570321,处理反馈
一汽-大众,T-ROC探歌,2020款 280TSI DSG 两驱 舒适型,"A85,",,2021-02-04,一汽大众探歌新车油耗高希望厂家处理,570319,处理反馈
长城汽车,WEY P8,2018款 2.0T 旗舰型,"A255,A346,",,2021-02-04,WEY P8混合动力功能受限行驶时动力消失,570316,处理反馈
长安福特,锐际,2020款 EcoBoost 245 两驱 耀享款,"A24,",,2021-02-04,长安福特锐际新车发动机怠速抖动,570312,处理反馈
奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 尊贵版,"H79,",,2021-02-04,奇瑞艾瑞泽5车门生锈维修后再次生锈,570311,处理反馈
奇瑞新能源,奇瑞QQ3EV,2014款 EV 运动版,"H343,I295,",,2021-02-04,奇瑞QQ3EV动力电池严重衰减厂家不予解决,570309,信息审核
吉利汽车,帝豪GL,2020款 1.4T CVT 豪华型,"B33,",,2021-02-04,吉利帝豪GL踩刹车或松刹车时变速箱有异响,570305,用户评分
一汽-大众奥迪,奥迪Q5L,2020款 改款 40 TFSI 荣享时尚型,"A12,B22,H93,",,2021-02-04,一汽大众奥迪Q5L发动机和变速箱连接处渗油,570303,信息审核
东风标致,标致308,2016款 1.6L 自动 豪华版,"A34,J300,",,2021-02-04,东风标致308保养过后提示发动机故障,570300,处理反馈
广汽本田,飞度,2016款 1.5L LX CVT 舒适型,"A9,",,2021-02-04,广汽本田飞度冷车启动异响希望尽快处理,570297,处理反馈
长安福特,锐界,2018款 EcoBoost 245 两驱 豪锐型 7座 国V,"A12,",,2021-02-04,长安福特锐界发动机漏机油希望尽快处理,570296,处理反馈
长城汽车,炮,2019款 2.0T 商用版 手动 两驱 精英型 长箱 GW4D20M 柴油,"A34,A44,",,2021-02-04,长城炮发动机故障灯报警 无法启动,570295,处理反馈
一汽-大众,宝来,2017款 230TSI DSG 舒适型,"A24,B334,",,2021-02-04,一汽大众宝来挂挡后无法行驶 发动机抖动,570293,处理反馈
一汽红旗,红旗H5,2020款 1.8T 自动 智联旗韵版,"H67,H68,",,2021-02-04,红旗H5后备箱自动开启 车窗自动下降,570291,信息审核
一汽丰田,卡罗拉,2017款 1.2T S-CVT GL 改款,"H72,",,2021-02-04,一汽丰田卡罗拉门窗异响售后未解决问题,570290,信息审核
广汽三菱,欧蓝德,2018款 2.4L 四驱 精英版 5座,"A24,H268,",,2021-02-04,广汽三菱欧蓝德发动机抖动 后排座椅共振,570289,厂家受理
比亚迪,比亚迪e2,2021款 升级版 标准续航版 标准型,"H343,H344,",,2021-02-04,比亚迪e2动力电池续航不足电量消耗大,570288,处理反馈
众泰汽车,江南T11,2015款 舒适型,"B33,",,2021-02-04,江南T11行驶中变速箱异响无人处理,570286,信息审核
长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,"A255,",,2021-02-04,长安福特蒙迪欧行驶中发动机失去动力,570281,处理反馈
东风标致,标致5008,2017款 380THP 精英版 7座,"A63,D59,G52,",,2021-02-04,东风标致5008发动机烧机油 转向异响,570280,处理反馈
长安汽车,长安欧尚X7,2021款 1.5T 自动 豪华型,"H82,",,2021-02-04,长安欧尚X7后备箱车灯不亮希望尽快处理,570278,厂家受理
东风本田,本田UR-V,2017款 370TURBO 两驱 尊贵版 国V,"H168,",,2021-02-04,东风本田UR-V转向拉杆断裂更换后再次断裂,570277,处理反馈
东风日产,轩逸,2020款 1.6L XL CVT 悦享版,"B20,",,2021-02-04,东风日产轩逸变速箱不换挡要求尽快解决,570275,处理反馈
奇瑞捷豹路虎,发现运动版,2020款 249PS R-Dynamic SE 性能科技版 7座,"G56,",,2021-02-04,奇瑞路虎发现运动版底盘变硬滤震效果变差,570272,处理反馈
一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享运动型,"A24,B33,B19,",,2021-02-04,奥迪Q5L发动机抖动 变速箱顿挫异响,570271,信息审核
奇瑞新能源,小蚂蚁,2021款 15万蚁粉款 蚁潮版,"H343,",,2021-02-04,奇瑞小蚂蚁高压绝缘故障动力电池断电,570269,厂家受理
吉利汽车,缤越,2019款 260T DCT 骑士 国V,"L314,",,2021-02-04,吉利缤越厂家未履行车机系统更新承诺,570268,处理反馈
一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚PLUS版,"H72,",,2021-02-04,一汽丰田RAV4荣放颠簸路面前车窗玻璃异响,570265,信息审核
上汽通用五菱,五菱宏光,2019款 1.5L S 基本型 L2B,"M283,",,2021-02-04,上汽通用五菱宏光经销商出售库存车,570263,用户评分
长安汽车,长安CS55,2017款 1.5T 手动 炫动型,"C87,",,2021-02-04,长安CS55一挡起步时车身抖动严重,570261,用户评分
东风日产,逍客,2016款 2.0L CVT 精英版,"B19,",,2021-02-04,东风日产逍客低速行驶变速箱顿挫,570259,处理反馈
东风雪铁龙,天逸 C5 AIRCROSS新能源,2020款 1.6T 四驱 插混尊享型,"H209,",,2021-02-04,雪铁龙天逸C5 AIRCROSS新能源中控屏缝隙大,570257,信息审核
北汽新能源,EV系列,2014款 E150 EV 科技版,"A341,I297,",,2021-02-04,北汽新能源EV动力丢失  厂家拒绝保修,570256,处理反馈
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,"A24,",,2021-02-04,一汽大众探岳1000-1200转时发动机抖动,570254,用户评分
东风英菲尼迪,英菲尼迪Q50L,2018款 2.0T 进享版 国VI,"E43,E47,",,2021-02-04,英菲尼迪Q50L刹车片异常磨损频繁更换,570249,信息审核
东风本田,本田XR-V,2015款 1.5L LXi CVT经典版,"A9,",,2021-02-04,东风本田XR-V早上启动时发动机舱有异响,570247,用户评分
上汽大众,途观L,2020款 330TSI 自动 两驱 智动豪华版 国VI,"E43,E29,H263,",,2021-02-04,大众途观L发动机启停系统故障 刹车失灵异响,570246,处理反馈
奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,"H155,",,2021-02-04,奇瑞瑞虎8 PLUS车机系统无法读取U盘,570245,处理反馈
一汽马自达,马自达8,2015款 2.5L 至尊版,"A44,H31,",,2021-02-04,一汽马自达8排气管异响及起动机卡滞,570244,信息审核
一汽-大众,迈腾,2017款 280TSI DSG 舒适型,"B20,",,2021-02-04,一汽大众迈腾处于紧急运行模式无法挂倒挡,570242,用户评分
东风日产,骐达TIIDA,2019款 1.6L CVT 智尊版 国Ⅵ,"H79,I294,",,2021-02-04,东风日产骐达悬架生锈厂家没有回复,570236,厂家受理
北京现代,索纳塔,2020款 270TGDi GL DCT 领先版,"D59,",,2021-02-04,北京现代索纳塔转向异响希望厂家处理,570235,信息审核
东风日产,逍客,2017款 2.0L CVT 精英版 国Ⅵ,"D59,H134,J298,N318,",,2021-02-04,东风日产逍客转向异响换件未解决问题,570234,处理反馈
广汽本田,飞度,2016款 1.5L LX CVT 舒适型,"A9,A34,",,2021-02-04,广汽本田飞度发动机启动异响 故障报警,570229,处理反馈
北京现代,胜达,2020款 380 TGDi GLS 自动 两驱 豪华版,"H60,L313,",,2021-02-04,北京现代胜达雨刮胶条脱落 置换补贴未到账,570228,信息审核
奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 豪华版,"G52,H79,",,2021-02-04,奇瑞艾瑞泽5车身不同程度生锈腐烂异响,570221,处理反馈
一汽奔腾,奔腾X40,2017款 1.6L 自动 尊享型,"A24,",,2021-02-04,一汽奔腾X40发动机4缸失火车身抖动,570217,处理反馈
一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,"H82,",,2021-02-04,一汽大众探岳车灯不亮 影响行车安全,570216,处理反馈
一汽-大众捷达,捷达VA3,2019款 1.5L 手动 进取版,"A34,E62,",,2021-02-04,捷达VA3发动机故障灯亮 制动系统故障灯亮,570215,处理反馈
奇瑞新能源,小蚂蚁,2021款 15万蚁粉款 蚁潮版,"H155,H344,M279,",,2021-02-04,奇瑞小蚂蚁远程启动和续航里程与宣传不符,570214,信息审核
一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,"A339,",,2021-02-04,丰田亚洲龙发动机机油增多希望厂家处理,570212,信息审核
东风汽车,东风小霸王,轻型仓栅式货车,"E29,E74,",,2021-02-04,东风小霸王刹车时失灵 ABS故障灯亮,570211,信息审核
北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,"A34,A160,",,2021-02-04,北京现代途胜发动机故障灯亮 提速无力,570210,信息审核
一汽奔腾,奔腾X40,2017款 1.6L 自动 豪华型,"A24,A136,",,2021-02-04,一汽奔腾X40发动机缺缸 三缸失火,570209,信息审核
一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 技术型,"A37,",,2021-02-04,一汽大众奥迪Q5水泵和节温器漏防冻液,570201,信息审核
猎豹汽车,猎豹CS10,2017款 2.0T 自动 豪华型,"B33,D59,H203,",,2021-02-04,猎豹CS10变速箱异响 转向异响 胎压监测故障,570200,信息审核
一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型 30周年年型,"A9,",,2021-02-04,一汽大众奥迪Q3车辆起步时发动机异响,570199,信息审核
江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国VI,"H168,H68,",,2021-02-03,江铃福特领界尾门开裂要求给予解决,570197,处理反馈
一汽吉林,森雅R7,2016款 1.6L 手动 豪华型,"A24,A34,N318,",,2021-02-03,一汽吉林森雅R7发动机故障报警经销商无配件,570196,信息审核
奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 地 7座,"H82,",,2021-02-03,捷途X70 PLUS车灯照射距离近 不聚光,570195,处理反馈
上汽通用五菱,新宝骏RC-5,2020款 1.5T CVT 智耀尊享型,"H134,H155,H67,",,2021-02-03,新宝骏RC-5车机绿屏 360全景成像偏差,570194,处理反馈
一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,"B33,B19,",,2021-02-03,一汽丰田卡罗拉低速变速箱顿挫异响,570193,信息审核
吉利汽车,帝豪GL,2019款 1.4T CVT 精英智享版,"H15,",,2021-02-03,吉利帝豪GL车辆行驶时A柱出现异响,570192,处理反馈
广汽丰田,凯美瑞,2016款 2.5HG CVT 十周年纪念豪华导航版 双擎,"H168,",,2021-02-03,广汽丰田凯美瑞真皮方向盘破损脱落,570189,信息审核
北京奔驰,奔驰GLC,2020款 GLC 300 L 4MATIC 豪华型,"G171,",,2021-02-03,北京奔驰GLC减震器过硬影响舒适性,570188,信息审核
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,"A85,H263,",,2021-02-03,一汽大众探岳自动启停失效 油耗增加,570183,处理反馈
一汽-大众奥迪,奥迪A4L,2020款 45 TFSI quattro 臻选致雅型,"I295,J303,",,2021-02-03,一汽大众奥迪A4L安装中网导致车辆受损,570182,信息审核
东风本田,本田CR-V,2018款 1.5T CVT 两驱 舒适版,"B334,",,2021-02-03,东风本田CR-V变速箱损坏行驶中动力消失,570168,处理反馈
华晨中华,中华V7,2018款 280T 手动 豪华型 5座,"A34,A44,B19,H119,",,2021-02-03,华晨中华V7发动机故障灯亮发动机无法启动,570167,信息审核
东风标致,标致307,2009款 两厢 1.6L 手动 爱乐版,"H75,",,2021-02-03,东风标致307召回后油箱有严重汽油味,570158,处理反馈
上汽大众斯柯达,柯米克,2020款 1.5L 自动 舒适版,"H113,I297,",,2021-02-03,斯柯达柯米克前挡风玻璃开裂4S店不索赔,570155,处理反馈
江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,"A34,H253,",,2021-02-03,江淮瑞风S3定速巡航失效 发动机故障灯亮,570154,用户评分
东风日产,蓝鸟,2016款 1.6L CVT 高能版,"M279,",,2021-02-03,东风日产蓝鸟油箱容积与厂家宣传不符,570152,用户评分
北京现代,领动,2016款 1.4T  双离合 炫动·活力型,"H79,",,2021-02-03,北京现代领动中网与门把手氧化生锈严重,570142,信息审核
比亚迪,比亚迪S6,2013款 劲悦版 2.0L 手动 精英型 5座,"H81,",,2021-02-03,比亚迪S6车身漆面起泡开裂希望处理,570140,处理反馈
一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,"G56,H170,",,2021-02-03,一汽丰田卡罗拉预碰撞系统故障倒车异响,570138,信息审核
福田汽车,祥菱M,2018款 1.5L M2非承载 单排 后双胎(厢式)DAM15L,"G56,G200,",,2021-02-03,福田祥菱M轮毂螺丝杆断裂底盘异响,570137,信息审核
东风日产,天籁,2020款 改款 2.0L XL 舒适版,"H147,",,2021-02-03,东风日产天籁油箱异响希望厂家处理,570135,处理反馈
广汽本田,冠道,2020款 370TURBO 四驱 尊享版,"A12,",,2021-02-03,广汽本田冠道首保后出现发动机漏油,570133,用户评分
一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 都市版,"H93,",,2021-02-03,一汽丰田RAV4荣放右侧A柱仪表台附近异响,570131,信息审核
一汽-大众,速腾,2021款 280TSI DSG 豪华智联版,"H72,",,2021-02-03,一汽大众速腾后车门关闭时有异响,570130,处理反馈
华晨宝马,宝马5系,2020款 530Li 领先型 M运动套装,"M284,",,2021-02-03,华晨宝马5系合格证二维码无法扫描,570129,信息审核
广汽本田,凌派,2019款 180Turbo CVT 舒适版 国VI,"A34,J298,",,2021-02-03,广汽本田凌派发动机故障灯亮多次维修未解决,570128,用户评分
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,"H88,",,2021-02-03,一汽大众探岳大灯进水希望尽快处理,570127,处理反馈
东风本田,哥瑞,2016款 1.5L CVT 风尚版,"A9,",,2021-02-03,东风本田哥瑞发动机冷启动异响希望处理,570125,厂家受理
长安福特,金牛座,2019款 EcoBoost 245 尊享版,"G125,",,2021-02-03,长安福特金牛座打死方向车轮异响,570123,处理反馈
奇瑞汽车,瑞虎8,2019款 1.5TCI 手动 精英型,"H82,Q322,",,2021-02-03,奇瑞瑞虎8车灯盲区过大 倒车灯亮度不足,570121,用户评分
东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,"H78,",,2021-02-03,东风雪铁龙C4L高压油泵故障希望处理,570119,处理反馈
上汽集团,名爵5,2021款 180DVVT CVT 青春豪华版,"L313,",,2021-02-03,上汽名爵5官方淘宝直播活动不兑现,570118,处理反馈
广汽本田,缤智,2020款 1.5L CVT 豪华版,"H81,",,2021-02-03,广汽本田缤智左侧车门内侧有掉漆的现象,570117,处理反馈
一汽吉林,森雅R9,2018款 1.2T 自动 尊贵智悦型,"H23,",,2021-02-03,一汽森雅R9发动机防盗锁锁死 4S店无法打开,570116,信息审核
一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,"B69,B208,",,2021-02-03,一汽大众探岳行驶时拖挡导致共振,570111,用户评分
东风日产,逍客,2017款 2.0L CVT 智享版 国V,"F100,",,2021-02-03,东风日产逍客普利司通轮胎老化有裂纹,570109,处理反馈
一汽-大众奥迪,奥迪A6L,2018款 35 TFSI 双离合 运动型,"F10,",,2021-02-03,一汽大众奥迪A6L两后倍耐力轮胎磨损,570108,处理反馈
广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,"G161,",,2021-02-03,广汽丰田凯美瑞前半轴防尘套漏油,570107,信息审核
星途,星途TX,2019款 TX 1.6T 四驱 铂金版,"H79,H146,",,2021-02-03,星途TX电池亏电严重导致空调无法启动,570099,信息审核
江西五十铃,铃拓,2020款 2.5T 两驱 手动 领航版 国VI JE4D25Q6A,"B95,",,2021-02-03,江西五十铃铃拓变速箱抖动希望厂家处理,570095,信息审核
一汽-大众,高尔夫,2017款 230TSI 自动 豪华百万辆纪念版,"N316,",,2021-02-03,一汽大众高尔夫4S店 更换配件以旧充新,570094,处理反馈
吉利汽车,缤越,2019款 260T DCT 游侠 国VI 运动款,"A34,I293,",,2021-02-03,吉利缤越发动机故障灯亮 服务态度蛮横,570093,处理反馈
江淮汽车,瑞风S2,2015款 1.5L CVT 豪华型,"B96,H170,",,2021-02-03,江淮瑞风S2行驶中TCU故障防侧滑报警,570092,处理反馈
一汽丰田,威驰,2019款 1.5L CVT 创行版,"A37,",,2021-02-03,一汽丰田威驰发动机冷却液渗漏希望厂家处理,570087,信息审核
广汽本田,凌派,2013款 1.8L 自动 舒适版,"K307,",,2021-02-03,广汽本田凌派4S店收取高额报价费,570086,处理反馈
东风日产,天籁,2020款 2.0L XL 舒适版,"H147,",,2021-02-03,东风日产天籁油箱行驶时异响希望更换,570082,处理反馈
北京奔驰,奔驰GLB,2020款 GLB 200 时尚型,"A34,H155,",,2021-02-03,奔驰GLB发动机故障灯亮 天窗开关异常,570078,处理反馈
DS汽车,DS6,2016款 1.6T 豪华版THP160,"H192,",,2021-02-03,DS6天窗无法完全关闭希望尽快处理,570074,信息审核
广汽本田,雅阁,2018款 260TURBO 精英版 国VI,"D59,D123,",,2021-02-03,广汽本田雅阁高速行驶时修正方向卡顿,570072,处理反馈
东风本田,本田UR-V,2017款 370TURBO 四驱 尊耀版 国V,"H168,I297,",,2021-02-03,东风本田UR-V进气格栅开裂厂家不予索赔,570069,处理反馈
庆铃汽车,巨咖,巨咖,"Q322,",,2021-02-03,庆铃巨咖原车未配备汽笛希望处理,570068,信息审核
奇瑞汽车,捷途X70,2020款 1.5T DCT 智行版 5座,"D59,G52,G162,",,2021-02-03,捷途X70减震器异响 转向异响 颠簸抖动,570066,处理反馈
东风本田,本田CR-V,2017款 240TURBO 自动 两驱 舒适版,"G245,",,2021-02-03,东风本田CR-V后轮胎吃胎异常磨损严重,570059,用户评分
宝马（进口）,宝马X7,2021款 xDrive40i 尊享型M运动套装,"H169,",,2021-02-03,进口宝马X7座椅出现白色斑痕影响美观,570058,信息审核
一汽-大众,探影,2020款 1.5L 自动 悦,"H110,H211,",,2021-02-03,一汽大众探影后视镜无法电动调节,570056,处理反馈
北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,"H31,I297,",,2021-02-03,北京现代途胜行驶时排气管异响 不予索赔,570055,处理反馈
特斯拉中国,Model Y,2021款 长续航 全轮驱动版,"H101,",,2021-02-03,特斯拉Model Y热泵压缩机损坏空调不制热,570051,信息审核
上汽大众,途铠,2019款 1.5L 自动 舒适版,"I293,M280,",,2021-02-03,上汽大众途铠合同订购车型与实际车型不符,570050,处理反馈
东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国VI,"D59,H147,",,2021-02-03,东风日产轩逸加满油汽油箱异响 转向异响,570049,处理反馈
一汽奔腾,奔腾B50,2016款 1.6L 自动 舒适型,"H79,",,2021-02-03,一汽奔腾B50车身后轮上方生锈腐烂,570047,处理反馈
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,"A85,A114,",,2021-02-03,一汽大众探岳冬季颗粒捕捉器堵塞油耗增加,570045,处理反馈
特斯拉中国,Model Y,2021款 长续航 全轮驱动版,"H101,I295,M279,",,2021-02-03,特斯拉Model Y空调压缩机故障 与宣传不符,570043,信息审核
东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,"O354,",,2021-02-03,东风悦达起亚智跑贷款还清后未提供车钥匙,570042,处理反馈
一汽红旗,红旗HS5,2019款 2.0T 智联旗享四驱版,"A114,",,2021-02-03,红旗HS5启动后提示废气监控系统故障,570040,信息审核
一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,"A85,H82,",,2021-02-03,一汽大众探岳大灯透镜发白影响照明 油耗高,570038,处理反馈
广汽丰田,雷凌,2021款 185T CVT 运动版,"A255,",,2021-02-03,广汽丰田雷凌动力消失希望尽快处理,570037,信息审核
东风小康,东风小康C32,2018款 1.2L 改款 基本型 国V DK12,"G261,",,2021-02-03,东风小康C32行驶不到一年出现大梁断裂,570036,用户评分
一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 进取型 国VI,"A63,",,2021-02-03,一汽大众奥迪A3发动机烧机油机油消耗异常,570034,信息审核
上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,"G117,H268,H144,",,2021-02-03,上汽大众途观L低速车身共振 方向跑偏,570032,用户评分
长安福特,翼虎,2018款 EcoBoost 180 两驱 铂翼型,"H185,",,2021-02-03,长安福特翼虎车内异味希望尽快处理,570028,处理反馈
东风日产,天籁,2021款 2.0L XL 舒适版,"G56,",,2021-02-03,东风日产天籁右转弯时踩油门加速有异响,570027,处理反馈
一汽-大众奥迪,奥迪A3,2016款 Limousine 1.4T 双离合 领英型,"B115,",,2021-02-03,一汽大众奥迪A3变速箱机电单元故障,570026,信息审核
一汽-大众奥迪,奥迪A4L,2016款 1.8T 自动 舒适型,"H40,",,2021-02-03,一汽大众奥迪A4L行驶时发动机舱发生自燃,570025,信息审核
DS汽车,DS 4S,2016款 1.2T 进取版THP130,"A191,A336,",,2021-02-03,长安标致雪铁龙DS 4S正时皮带掉,570023,信息审核
东风标致,标致408,2014款 1.8L 自动 领先版,"A34,",,2021-02-03,东风标致408发动机报故障码P0172,570022,处理反馈
一汽-大众,宝来,2018款 1.5L 手动 舒适型,"F100,",,2021-02-03,一汽大众宝来锦湖轮胎开裂要求解决,570020,处理反馈
长安福特,翼虎,2013款 1.6T  四驱精英型,"H147,",,2021-02-03,福特翼虎加油时汽油箱异响存在质量问题,570019,处理反馈
奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领跑版,"H79,",,2021-02-03,奇瑞艾瑞泽5车身底盘车门转向柱多处生锈,570016,处理反馈
北京现代,菲斯塔,2021款 280TGDi 精英版,"H168,",,2021-02-03,北京现代菲斯塔新车中控屏开裂厂家拒赔,570013,处理反馈
江淮汽车,嘉悦X7,2020款 1.5TGDI 自动 自由+,"A34,I297,",,2021-02-03,江淮嘉悦X7厂家质保期内拒绝维修发动机,570012,用户评分
吉利汽车,缤越,2020款 PRO 260T DCT Battle,"L313,L312,L311,",,2021-02-03,吉利缤越4S店销售承诺未兑现提不到车,570011,用户评分
一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,"H164,",,2021-02-03,奥迪Q5L新车车内异响影响正常驾驶,570005,信息审核
奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 领潮版,"G52,J298,",,2021-02-03,奇瑞艾瑞泽5前减震器异响反复维修未解决,570004,处理反馈
一汽丰田,皇冠,2015款 2.0T 时尚版,"A53,",,2021-02-03,一汽丰田丰田皇冠发动机喷油嘴损坏,570002,信息审核
长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,"H54,",,2021-02-03,长安福特蒙迪欧三元催化器故障导致报警,569999,处理反馈
东风乘用车,风神A60,2016款 1.6L 自动 豪华型,"N318,",,2021-02-03,东风风神A60发动机电脑一直无配件,569996,厂家受理
奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,"H209,",,2021-02-03,奇瑞瑞虎8车身不平整缝隙大制作工艺差,569995,用户评分
长安福特,翼虎,2015款 1.5L GTDi 四驱精英型 5座,"H271,",,2021-02-03,长安福特翼虎碳罐堵塞导致油箱有异响,569987,处理反馈
广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,"A9,",,2021-02-03,广汽本田缤智天冷发动机启动时VTC异响,569983,处理反馈
东风标致,标致308S,2015款 1.2T 自动 劲驰版,"A63,",,2021-02-03,东风标致308S更换正时皮带后烧机油,569982,处理反馈
一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,"B20,",,2021-02-03,一汽大众迈腾变速箱故障无法挂入倒挡,569979,处理反馈
